rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,inicial
m/cell_213,Cell 213,The Devil and God battle for a lawyer's soul.,,R,Horror,Stephen Kay,Maninder Chana,"Eric Balfour, Bruce Greenwood, Michael Rooker, Deborah Valente, Tamara Gorski",2011-06-10,2016-04-01,109.0,Cinesavvy,Rotten,17.0,6.0,Spilled,20.0,64.0,2,1,5,C
m/cellmates_2012,Cellmates,"Sent to prison, Leroy Lowe (Tom Sizemore), a grand dragon of the Ku Klux Klan, becomes cellmates with Emilio (Héctor Jiménez), a Hispanic field worker who slowly erodes Leroy's anger and prejudices.",,PG-13,Comedy,Jesse Baget,"Jesse Baget, Stefania Moscato","Tom Sizemore, Stacy Keach, Kevin P. Farley, Héctor Jiménez, Olga Segura, Leighton Shields, James R. Juolfs",2012-06-01,2015-09-11,86.0,Cavu Pictures,Rotten,47.0,15.0,Upright,63.0,193.0,3,7,8,C
m/cellular,Cellular,"Schoolteacher Jessica Martin (Kim Basinger) is abducted by ruthless crook Ethan (Jason Statham) and brought to a remote hideout, where she finds a broken cell phone. Unfortunately, when she tries to use the malfunctioning phone to contact the authorities, she accidentally reaches college student Ryan (Chris Evans) instead. The young man wants to help Jessica, but she has no idea where her captors have taken her, and Ryan must scramble to figure out where she is before his cell phone goes dead.","Though it's gimmicky and occasionally feels like a high-end cell phone ad, Cellular is also an energetic and twisty thriller.",PG-13,"Action & Adventure, Mystery & Suspense",David R. Ellis,"Chris Morgan, Larry Cohen, Eric Bress","Kim Basinger, Jason Statham, Chris Evans, William H. Macy, Matt McColm, Eric Christian Olsen, Jessica Biel, Richard Burgi, Noah Emmerich, Rick Hoffman, Eddie Driscoll, Eric Etebari, Caroline Aaron, Adam Taylor Gordon, Bryan Holly, Brendan Kelly, Mircea Monroe, Alana Morshead, Rob Nagle, Andrew Michaelson, Brandon Osborne, Dat Phan, Lorna Scott, Sean Smith",2004-09-10,2010-07-01,92.0,New Line Cinema,Rotten,55.0,150.0,Spilled,59.0,78806.0,36,83,67,C
m/celtic_pride,Celtic Pride,"Mike (Daniel Stern) and Jimmy (Dan Aykroyd) are disconsolate after watching their favorite team, the Boston Celtics, lose a game in the NBA finals. They hatch a far-fetched scheme to sabotage Lewis Scott (Damon Wayans), the star of the opposing team, who is known for his love of nightlife, by getting him very drunk -- and thus too hungover to perform in the next game. After the two inadvertently kidnap the player instead, they dither about whether or not to release their captive.",,PG-13,Comedy,Tom DeCerchio,"Judd Apatow, Colin Quinn","Damon Wayans, Daniel Stern, Dan Aykroyd, Gail O'Grady, Adam Hendershott, Paul Guilfoyle (II), Deion Sanders, Christopher McDonald, Gerard G. Williams, Ted Rooney, Bill Walton, Vladimir Cuk, Keith Gibbs, Joe Mingle, Peter A. Hulne, Patrick Hulne, Will Lyman, Darrell Hammond, Colton Russo, Ed 'The Machine' Regine, Bill L. McDonald, Belle McDonald, Larry Bird, Charley Broderick, Jeffrey Ross, Scott Lawrence, Steve Sweeney, Tony V., Mary Klug, Marv Albert, Charlie Haugk, Bob Cousy, Andy Jick, Connie Perry, Curt Frisk, James Dickinson, George MacDonald, Charles Porter, Ed Logan, Robert M. Curcuro, Nicole Brathwaite, Michael Biase, Kevin Benton, Maryanne Di Modica, Bob Haggerty",1996-04-19,2016-08-10,90.0,Buena Vista Pictures,Rotten,9.0,23.0,Spilled,31.0,10221.0,7,2,21,C
m/cemetery_junction,Cemetery Junction,"Three bored young men living in the English suburbs strive to create identities for themselves in the stultifying atmosphere of Reading. Bruce (Tom Hughes) is trying to figure out a way to avoid following in the footsteps of his dad, whose dreary existence he finds uninspiring. Snork (Jack Doolan) pines for female companionship, and Freddie (Christian Cooke) is hired to sell insurance and falls for the daughter of his boss. Soon, changes are afoot for the trio--and perhaps better things.","It fails to challenge the well-established conventions of its storyline, but Cemetery Junction benefits from the genuine warmth of its script, as well as its refusal to give in to cheap nostalgia.",R,Comedy,"Ricky Gervais, Stephen Merchant","Ricky Gervais, Stephen Merchant","Ricky Gervais, Christian Cooke, Jack Doolan, Tom Hughes, Felicity Jones, Ralph Fiennes, Emily Watson, Matthew Goode",2010-04-14,2016-04-19,95.0,Sony Pictures,Rotten,55.0,40.0,Upright,63.0,13694.0,8,22,18,C
m/center_stage,Center Stage,"A dozen adolescents have begun their training at the renowned American Ballet Academy, where they encounter tremendous physical and mental stress while vying for a coveted spot in a celebrated dance company. Jody Sawyer (Amanda Schull) has talent but the wrong proportions, the fiery Eva Rodriguez (Zoe Saldana) can't seem to get along with her instructors and Maureen (Susan May Pratt) is having a hard time enduring the emotional highs and lows that accompany ballet school.","Viewers willing to sit through soapy plot contrivances to see some excellent dancing might enjoy Center Stage; for everyone else, there's still always Fame.",PG-13,"Drama, Musical & Performing Arts",Nicholas Hytner,Carol Heikkinen,"Amanda Schull, Ethan Stiefel, Zoe Saldana, Eion Bailey, Peter Gallagher, Donna Murphy, Debra Monk, Susan May Pratt, Shakiem Evans, Sascha Radetsky, Christine Dunham, Stephen Stout, Maryann Plunkett, Laura Hicks, Barbara Caruso, Jeffrey Hayenga, Victor Anthony, Karen Shallo, Carlo Alban, Giselle Daly, Ilia Kulik, Lisa Leguillo, Robert Montano, Megan Pepin, Victoria Born, Kirk Peterson, Julie Kent, Sandra Brown, Elizabeth Gaither, Oksana Konobeyeva, Ekaterina Chtchelkanova, Elizabeth Hubbard, Nancy McDoniel, Sandy Hamilton, Olga Merediz, Elvis Crespo, Giselle Tcherniak, Jamie Bonelli, Micki Paley, Randy Pearlstein, Nancy Hess, Lovette George, Priscilla Lopez, Brenda Thomas Denmark, Warren Carlyle, Marcia Jean Kurtz, Kari Thompson, Aesha Ash, Sean Stewart, Ashley Anderson, Jared Angle, Erin Baiano, Jennifer Balcerzak, Ellen Bar, Tamara Barden, Sant'Gria Bello, Dustin Brauneck, Melissa Cabrera, Martine Ciccone, Elena Diner, Nicole Epstein, Alina Faye, Elizabeth Sujin Ford, Jason Fowler, Kurt Froman, Kyle Froman, Davena Gross, Natalia Haigler, Craig Hall, Stephen Hanna, Adam Hendrickson, Patrick Howell, Ryan Kelly, Rebecca Krohn, Jessica Kusak, Michael Ryan Lawrence, Riolama Lorenzo, Stephanie Lyons, Deanna McBrearty, Eleena Melamed, Justin Morris, Gillian Murphy, Laura Paulus, Matt Pitcher, Jonathan Porretta, Carrie Lee Riggins, Emilie Schlegel, David Schneider, Chrissy Schultz, Aaron Severini, Kristin Sloan, Jonathan Stafford, Ryan W. Stewart, Janie Taylor, Pascale Van Kipnis, Jamie ""Great Wolf"" Webster, Julio Augustin, Jim Borstelmann, Liam Burke, Chris Davis, Nina Goldman, Shannon Hammonds, Jack Hayes, Sean Martin Hingston, Joann Hunter, Violetta Klimczewska, Keri Lee, Stephanie Michels, Lisa Nafegar, Michael O'Donnell, Angela Piccinni, Mimi Quillin, John Michael Schert, Lisa Shriver, Scott Taylor, Endalyn Taylor-Shellman, Rocker Verastique, Robert Wersinger",2000-05-12,2013-04-09,114.0,Columbia Pictures,Rotten,42.0,81.0,Upright,82.0,104272.0,23,34,47,C
m/1204891-center_stage_turn_it_up,Center Stage Turn It Up,A talented ballerina (Rachele Brooke Smith) and a former hockey player (Kenny Wormald) work together to achieve their dancing dreams.,,PG-13,Drama,Steven Jacobson,Karen Bloch Morse,"Rachele Brooke Smith, Ethan Stiefel, Peter Gallagher, Kenny Wormald, Sarah Jayne Jensen, Nicole Muñoz, Russell Christopher, Christian Vincent, Daniela Dib, Crystal Lowe, Nathalie Marrable, Maya Massar, Aliyah O'Brien, Harry Shum Jr.",2008-11-01,2016-04-19,90.0,Sony Pictures,Fresh,60.0,5.0,Spilled,58.0,10831.0,1,3,2,C
m/centigrade_2020,Centigrade,"A man and his pregnant wife become trapped in their car when a storm buries them underneath layers of snow and ice. As supplies dwindle and temperatures plunge, the couple must battle the elements and hypothermia in a desperate fight for survival.","A survival thriller largely bereft of thrills, Centigrade may leave audiences feeling just as hopelessly trapped as the main characters.",NR,Mystery & Suspense,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza, Louis Cancelmi",2020-08-28,2020-08-28,127.0,IFC Midnight,Rotten,40.0,43.0,Spilled,41.0,22.0,2,17,26,C
m/central_intelligence,Central Intelligence,"Bullied as a teen for being overweight, Bob Stone (Dwayne Johnson) shows up to his high school reunion looking fit and muscular. While there, he finds Calvin Joyner (Kevin Hart), a fast-talking accountant who misses his glory days as a popular athlete. Stone is now a lethal CIA agent who needs Calvin's number skills to help him save the compromised U.S. spy satellite system. Together, the former classmates encounter shootouts, espionage and double-crosses while trying to prevent worldwide chaos.","Kevin Hart and Dwayne Johnson make for well-matched comic foils, helping Central Intelligence overcome a script that coasts on their considerable chemistry.",PG-13,"Action & Adventure, Comedy",Rawson Marshall Thurber,"Rawson Marshall Thurber, Ike Barinholtz, David Stassen","Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet, Jason Bateman, Aaron Paul, Ryan Hansen, Tim Griffin, Timothy John Smith, Sione Kelepi, Dylan Boyack, Thomas Kretschmann, Megan Park, Slaine Jenkins, Annie Kerins, Nate Richman, Robert Woo, Kumail Nanjiani, Phil Reeves, David Stassen, Rickey Eugene Brown, Kyle Washburn, Michael Patrick Kane, Sarah K. Thurber, Lawrence Koplin, Rawson Marshall Thurber, Barry Peterson, Ludwig Göransson, Richard Brener, Ike Barinholtz, Theodore Shapiro, Samuel J. Brown, Michael Disco, Toby Emmerich, Michael Fottrell, Ed Helms, Steven Mnuchin, Peter Principato, Scott Stuber",2016-06-17,2016-09-13,107.0,Warner Bros. Pictures,Fresh,71.0,187.0,Upright,61.0,54356.0,43,133,54,C
m/central-do-brasil-central-station,Central Station Central Do Brasil,"Bitter former schoolteacher Dora (Fernanda Montenegro) supports herself by taking dictation from illiterate people in Rio de Janeiro who want to write letters to their families and then pocketing their money without ever mailing the envelopes. One day, Josue (Vinícius de Oliveira), the 9-year-old son of one of her clients, is left alone when his mother is killed in a bus accident. Reluctantly taking him in, Dora joins the boy on a road trip to find his long-missing father.",Director Salles transcends road-movie clichés and crafts a film that is as moving as it is universal.,R,"Art House & International, Drama",Walter Salles,"Joao Emanuel Carneiro, Walter Salles, Marcos Bernstein","Fernanda Montenegro, Marilia Pera, Vincius De Oliveira, Vinícius de Oliveira, Soia Lira, Othon Bastos, Otávio Augusto, Stela Freitas, Matheus Nachtergaele, Caio Junqueira, Antonella Rendina, Socorro Nobre, Manoel Gomes, Roberto Andrade, Sheyla Kenia, Malcon Soares, Maria Clara Fernandes, Maria Marlene, Christano Camargo, Jorseba-Sebastiao Oliveira",1998-11-20,2017-03-23,110.0,Sony Classics,Certified-Fresh,94.0,48.0,Upright,95.0,13557.0,12,45,3,C
